id,group,games_played,retained_1,retained_7
116,A,3,FALSE,FALSE
337,A,38,TRUE,FALSE
377,B,165,TRUE,FALSE
483,B,1,FALSE,FALSE
488,B,179,TRUE,TRUE
540,B,187,TRUE,TRUE
1066,A,0,FALSE,FALSE
1444,B,2,FALSE,FALSE
1574,B,108,TRUE,TRUE
1587,B,153,TRUE,FALSE
1842,B,3,FALSE,TRUE
2101,A,0,FALSE,FALSE
2132,B,30,TRUE,FALSE
2179,A,39,TRUE,FALSE
2218,A,305,TRUE,TRUE
2382,A,73,TRUE,FALSE
2392,A,14,TRUE,FALSE
2451,A,204,TRUE,TRUE
2482,A,108,TRUE,TRUE
2502,B,1,FALSE,FALSE
2530,B,9,TRUE,FALSE
2534,A,5,TRUE,FALSE
2695,B,45,TRUE,FALSE
2729,A,105,FALSE,TRUE
2829,A,4,FALSE,FALSE
2963,A,3,FALSE,FALSE
3095,A,0,FALSE,FALSE
3132,B,80,TRUE,TRUE
3186,B,4,FALSE,FALSE
3199,A,5,FALSE,FALSE
3204,B,53,TRUE,TRUE
3413,A,37,TRUE,FALSE
3690,A,13,TRUE,FALSE
3696,A,50,FALSE,FALSE
3993,B,202,TRUE,TRUE
4076,B,0,FALSE,FALSE
4162,A,23,FALSE,FALSE
4176,A,0,FALSE,FALSE
4283,A,103,FALSE,FALSE
4594,A,27,FALSE,FALSE
4653,B,15,FALSE,FALSE
4881,A,0,FALSE,FALSE
4902,B,1,FALSE,FALSE
4916,B,49,TRUE,FALSE
4918,A,7,FALSE,FALSE
4929,A,386,TRUE,TRUE
4945,B,25,TRUE,FALSE
5066,A,1,FALSE,FALSE
5215,A,13,TRUE,FALSE
5286,A,12,TRUE,FALSE
5345,B,6,FALSE,FALSE
5479,A,25,TRUE,FALSE
5550,A,29,TRUE,FALSE
5661,A,136,TRUE,FALSE
5712,A,105,TRUE,TRUE
5920,B,10,TRUE,FALSE
5943,B,76,FALSE,FALSE
6099,B,138,FALSE,FALSE
6123,A,0,FALSE,FALSE
6151,A,94,TRUE,TRUE
6156,B,1,FALSE,FALSE
6492,A,0,FALSE,FALSE
6664,B,26,TRUE,FALSE
6695,B,127,TRUE,FALSE
6833,B,6,FALSE,FALSE
6842,B,4,FALSE,FALSE
6924,A,21,FALSE,FALSE
6930,B,297,TRUE,TRUE
7124,B,108,TRUE,TRUE
7253,A,45,TRUE,FALSE
7321,B,33,FALSE,FALSE
7509,B,0,FALSE,FALSE
7527,A,80,FALSE,FALSE
7564,A,21,FALSE,FALSE
7582,B,3,FALSE,FALSE
7767,A,139,TRUE,TRUE
7866,A,14,FALSE,FALSE
8063,A,50,TRUE,FALSE
8254,B,14,FALSE,FALSE
8256,B,14,FALSE,FALSE
8288,A,9,FALSE,FALSE
8317,B,3,FALSE,FALSE
8379,A,0,FALSE,FALSE
8464,A,10,FALSE,FALSE
8465,B,4,FALSE,FALSE
8494,A,5,TRUE,FALSE
8644,A,2,FALSE,FALSE
8679,A,0,FALSE,FALSE
8692,A,3,TRUE,FALSE
8753,B,10,TRUE,FALSE
8788,A,19,FALSE,TRUE
8801,B,0,FALSE,FALSE
8885,B,5,FALSE,FALSE
9001,B,16,TRUE,FALSE
9308,B,95,TRUE,FALSE
9443,B,3,FALSE,FALSE
9589,A,8,FALSE,FALSE
9699,B,8,FALSE,FALSE
9828,B,1,FALSE,FALSE
9831,B,3,FALSE,FALSE
9849,B,1,FALSE,FALSE
10112,A,6,FALSE,FALSE
10200,B,106,FALSE,TRUE
10218,A,22,TRUE,FALSE
